#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abahan;Abahan;Abahan;Abahan;;Abahan;;;;;;;;;x
b_barata_4_adj;Baratan;;barater;;;;;;;;;;;x
b_barata_5;Barata;Barata;Barata;;Barata;;;;;;;;;x
b_barata_5_adj;Baratan;;barater;;;;;;;;;;;x
b_barata_6;Barata;Barata;Barata;;Barata;;;;;;;;;x
b_barata_6_adj;Baratan;;barater;;;;;;;;;;;x
b_barcerouca;Barcerouca;Barcerouca;Barcerouca;;Barcerouca;;;;;;;;;x
b_barcerouca_adj;Barceroucan;;barceroucer;;;;;;;;;;;x
b_barequa;Barequa;Barequa;Barequa;;Barequa;;;;;;;;;x
b_barequa_adj;Barequan;;bareqer;;;;;;;;;;;x
b_baroli;Baroli;Baroli;Baroli;;Baroli;;;;;;;;;x
b_baroli_adj;Barolian;;baroler;;;;;;;;;;;x
b_barrita;Barrita;Barrita;Barrita;;Barrita;;;;;;;;;x
b_barrita_adj;Barritan;;barriter;;;;;;;;;;;x
b_barsa;Barsa;Barsa;Barsa;;Barsa;;;;;;;;;x
b_barsa_adj;Barsan;;barser;;;;;;;;;;;x
b_bavica;Bavica;Bavica;Bavica;;Bavica;;;;;;;;;x
b_bavica_adj;Bavican;;bavicer;;;;;;;;;;;x
b_bayatah;Bayatah;Bayatah;Bayatah;;Bayatah;;;;;;;;;x
b_bayatah_adj;Bayatahian;;bayataher;;;;;;;;;;;x
b_bayatah_2;Bayatah;Bayatah;Bayatah;;Bayatah;;;;;;;;;x
b_bayatah_2_adj;Bayatahian;;bayataher;;;;;;;;;;;x
b_bayatah_3;Bayatah;Bayatah;Bayatah;;Bayatah;;;;;;;;;x
b_bayatah_3_adj;Bayatahian;;bayataher;;;;;;;;;;;x
b_bayatah_4;Bayatah;Bayatah;Bayatah;;Bayatah;;;;;;;;;x
b_bayatah_4_adj;Bayatahian;;bayataher;;;;;;;;;;;x
b_bayittin;Bayittin;Bayittin;Bayittin;;Bayittin;;;;;;;;;x
b_bayittin_adj;Bayittinian;;bayittiner;;;;;;;;;;;x
b_benigona;Benigona;Benigona;Benigona;;Benigona;;;;;;;;;x
b_benigona_adj;Benigonan;;benigoner;;;;;;;;;;;x
b_beninsa;Beninsa;Beninsa;Beninsa;;Beninsa;;;;;;;;;x
b_beninsa_adj;Beninsan;;beninser;;;;;;;;;;;x
b_berbat;Berbat;Berbat;Berbat;;Berbat;;;;;;;;;x
b_berbat_adj;Berbatian;;berbater;;;;;;;;;;;x
b_berbat_2;Berbat;Berbat;Berbat;;Berbat;;;;;;;;;x
b_berbat_2_adj;Berbatian;;berbater;;;;;;;;;;;x
b_berbat_3;Berbat;Berbat;Berbat;;Berbat;;;;;;;;;x
b_berbat_3_adj;Berbatian;;berbater;;;;;;;;;;;x
b_berbat_4;Berbat;Berbat;Berbat;;Berbat;;;;;;;;;x
b_berbat_4_adj;Berbatian;;berbater;;;;;;;;;;;x
b_berj;Berj;Berj;Berj;;Berj;;;;;;;;;x
b_berj_adj;Berjian;;berjer;;;;;;;;;;;x
b_bijast;Bijast;Bijast;Bijast;;Bijast;;;;;;;;;x
b_bijast_adj;Bijastian;;bijaster;;;;;;;;;;;x
b_bobrozan;Bobrozan;Bobrozan;Bobrozan;;Bobrozan;;;;;;;;;x
b_bobrozan_adj;Bobrozanian;;bobrozaner;;;;;;;;;;;x
b_bonaquer;Bonaquer;Bonaquer;Bonaquer;;Bonaquer;;;;;;;;;x
b_bonaquer_adj;Bonaquerian;;bonaquerer;;;;;;;;;;;x
b_bonenia;Bonenia;Bonenia;Bonenia;;Bonenia;;;;;;;;;x
b_bonenia_adj;Bonenian;;bonener;;;;;;;;;;;x
b_bonenia_2;Bonenia;Bonenia;Bonenia;;Bonenia;;;;;;;;;x
b_bonenia_2_adj;Bonenian;;bonener;;;;;;;;;;;x
b_bonenia_3;Bonenia;Bonenia;Bonenia;;Bonenia;;;;;;;;;x
b_bonenia_3_adj;Bonenian;;bonener;;;;;;;;;;;x
b_bonenia_4;Bonenia;Bonenia;Bonenia;;Bonenia;;;;;;;;;x
b_bonenia_4_adj;Bonenian;;bonener;;;;;;;;;;;x
b_boscaril;Boscaril;Boscaril;Boscaril;;Boscaril;;;;;;;;;x
b_boscaril_adj;Boscarilian;;boscariler;;;;;;;;;;;x
b_boscaril_2;Boscaril;Boscaril;Boscaril;;Boscaril;;;;;;;;;x
b_boscaril_2_adj;Boscarilian;;boscariler;;;;;;;;;;;x
b_boscaril_3;Boscaril;Boscaril;Boscaril;;Boscaril;;;;;;;;;x
b_boscaril_3_adj;Boscarilian;;boscariler;;;;;;;;;;;x
b_boscaril_4;Boscaril;Boscaril;Boscaril;;Boscaril;;;;;;;;;x
b_boscaril_4_adj;Boscarilian;;boscariler;;;;;;;;;;;x
b_boscaril_5;Boscaril;Boscaril;Boscaril;;Boscaril;;;;;;;;;x
b_boscaril_5_adj;Boscarilian;;boscariler;;;;;;;;;;;x
b_botondicksi;Botondicksi;Botondicksi;Botondicksi;;Botondicksi;;;;;;;;;x
b_botondicksi_adj;Botondicksian;;botondickser;;;;;;;;;;;x
b_botondicksi_2;Botondicksi;Botondicksi;Botondicksi;;Botondicksi;;;;;;;;;x
b_botondicksi_2_adj;Botondicksian;;botondickser;;;;;;;;;;;x
b_botondicksi_3;Botondicksi;Botondicksi;Botondicksi;;Botondicksi;;;;;;;;;x
b_botondicksi_3_adj;Botondicksian;;botondickser;;;;;;;;;;;x
b_bozakot;Bozakot;Bozakot;Bozakot;;Bozakot;;;;;;;;;x
b_bozakot_adj;Bozakotian;;bozakoter;;;;;;;;;;;x
b_bozakot_2;Bozakot;Bozakot;Bozakot;;Bozakot;;;;;;;;;x
b_bozakot_2_adj;Bozakotian;;bozakoter;;;;;;;;;;;x
b_bozakot_3;Bozakot;Bozakot;Bozakot;;Bozakot;;;;;;;;;x
b_bozakot_3_adj;Bozakotian;;bozakoter;;;;;;;;;;;x
b_bozakot_4;Bozakot;Bozakot;Bozakot;;Bozakot;;;;;;;;;x
b_bozakot_4_adj;Bozakotian;;bozakoter;;;;;;;;;;;x
b_bozakot_5;Bozakot;Bozakot;Bozakot;;Bozakot;;;;;;;;;x
b_bozakot_5_adj;Bozakotian;;bozakoter;;;;;;;;;;;x
b_brandila;Brandila;Brandila;Brandila;;Brandila;;;;;;;;;x
b_brandila_adj;Brandilan;;brandiler;;;;;;;;;;;x
b_braria;Braria;Braria;Braria;;Braria;;;;;;;;;x
b_braria_adj;Brarian;;brarer;;;;;;;;;;;x
b_braria_2;Braria;Braria;Braria;;Braria;;;;;;;;;x
b_braria_2_adj;Brarian;;brarer;;;;;;;;;;;x
b_braria_3;Braria;Braria;Braria;;Braria;;;;;;;;;x
b_braria_3_adj;Brarian;;brarer;;;;;;;;;;;x
b_braria_4;Braria;Braria;Braria;;Braria;;;;;;;;;x
b_braria_4_adj;Brarian;;brarer;;;;;;;;;;;x
b_braria_5;Braria;Braria;Braria;;Braria;;;;;;;;;x
b_braria_5_adj;Brarian;;brarer;;;;;;;;;;;x
b_brasebes;Brasebes;Brasebes;Brasebes;;Brasebes;;;;;;;;;x
b_brasebes_adj;Brasebesian;;brasebeser;;;;;;;;;;;x
b_braurelea;Braurelea;Braurelea;Braurelea;;Braurelea;;;;;;;;;x
b_braurelea_adj;Braurelean;;braureler;;;;;;;;;;;x
b_brezske;Brezske;Brezske;Brezske;;Brezske;;;;;;;;;x
b_brezske_adj;Brezskean;;brezsker;;;;;;;;;;;x
b_brirbo;Brirbo;Brirbo;Brirbo;;Brirbo;;;;;;;;;x
b_brirbo_adj;Brirbian;;brirber;;;;;;;;;;;x
b_brirbo_2;Brirbo;Brirbo;Brirbo;;Brirbo;;;;;;;;;x
b_brirbo_2_adj;Brirbian;;brirber;;;;;;;;;;;x
b_brirbo_3;Brirbo;Brirbo;Brirbo;;Brirbo;;;;;;;;;x
b_brirbo_3_adj;Brirbian;;brirber;;;;;;;;;;;x
b_brirbo_4;Brirbo;Brirbo;Brirbo;;Brirbo;;;;;;;;;x
b_brirbo_4_adj;Brirbian;;brirber;;;;;;;;;;;x
b_callatis;Callatis;Callatis;Callatis;;Callatis;;;;;;;;;x
b_callatis_adj;Callatisian;;callatiser;;;;;;;;;;;x
b_callatis_2;Callatis;Callatis;Callatis;;Callatis;;;;;;;;;x
b_callatis_2_adj;Callatisian;;callatiser;;;;;;;;;;;x
b_callatis_3;Callatis;Callatis;Callatis;;Callatis;;;;;;;;;x
b_callatis_3_adj;Callatisian;;callatiser;;;;;;;;;;;x
b_callatis_4;Callatis;Callatis;Callatis;;Callatis;;;;;;;;;x
b_callatis_4_adj;Callatisian;;callatiser;;;;;;;;;;;x
b_callatis_5;Callatis;Callatis;Callatis;;Callatis;;;;;;;;;x
b_callatis_5_adj;Callatisian;;callatiser;;;;;;;;;;;x
b_caltasello;Caltasello;Caltasello;Caltasello;;Caltasello;;;;;;;;;x
b_caltasello_adj;Caltasellian;;caltaseller;;;;;;;;;;;x
b_caltasello_2;Caltasello;Caltasello;Caltasello;;Caltasello;;;;;;;;;x
b_caltasello_2_adj;Caltasellian;;caltaseller;;;;;;;;;;;x
b_caltasello_3;Caltasello;Caltasello;Caltasello;;Caltasello;;;;;;;;;x
b_caltasello_3_adj;Caltasellian;;caltaseller;;;;;;;;;;;x
b_caltasello_4;Caltasello;Caltasello;Caltasello;;Caltasello;;;;;;;;;x
b_caltasello_4_adj;Caltasellian;;caltaseller;;;;;;;;;;;x
b_caltasello_5;Caltasello;Caltasello;Caltasello;;Caltasello;;;;;;;;;x
b_caltasello_5_adj;Caltasellian;;caltaseller;;;;;;;;;;;x
b_camerinum;Camerinum;Camerinum;Camerinum;;Camerinum;;;;;;;;;x
b_camerinum_adj;Camerinumian;;camerinumer;;;;;;;;;;;x
b_camerinum_2;Camerinum;Camerinum;Camerinum;;Camerinum;;;;;;;;;x
b_camerinum_2_adj;Camerinumian;;camerinumer;;;;;;;;;;;x
b_camerinum_3;Camerinum;Camerinum;Camerinum;;Camerinum;;;;;;;;;x
b_camerinum_3_adj;Camerinumian;;camerinumer;;;;;;;;;;;x
b_camerinum_4;Camerinum;Camerinum;Camerinum;;Camerinum;;;;;;;;;x
b_camerinum_4_adj;Camerinumian;;camerinumer;;;;;;;;;;;x
b_camoz;Camoz;Camoz;Camoz;;Camoz;;;;;;;;;x
b_camoz_adj;Camozian;;camozer;;;;;;;;;;;x
b_caprera;Caprera;Caprera;Caprera;;Caprera;;;;;;;;;x
b_caprera_adj;Capreran;;caprerer;;;;;;;;;;;x
b_caprera_2;Caprera;Caprera;Caprera;;Caprera;;;;;;;;;x
b_caprera_2_adj;Capreran;;caprerer;;;;;;;;;;;x
b_caprera_3;Caprera;Caprera;Caprera;;Caprera;;;;;;;;;x
b_caprera_3_adj;Capreran;;caprerer;;;;;;;;;;;x
b_caprera_4;Caprera;Caprera;Caprera;;Caprera;;;;;;;;;x
b_caprera_4_adj;Capreran;;caprerer;;;;;;;;;;;x
b_carizquale;Carizquale;Carizquale;Carizquale;;Carizquale;;;;;;;;;x
b_carizquale_adj;Carizqualean;;carizqualer;;;;;;;;;;;x
b_cartania;Cartania;Cartania;Cartania;;Cartania;;;;;;;;;x
b_cartania_adj;Cartanian;;cartaner;;;;;;;;;;;x
b_casemezia;Casemezia;Casemezia;Casemezia;;Casemezia;;;;;;;;;x
b_casemezia_adj;Casemezian;;casemezer;;;;;;;;;;;x
b_caseni;Caseni;Caseni;Caseni;;Caseni;;;;;;;;;x
b_caseni_adj;Casenian;;casener;;;;;;;;;;;x
b_castela;Castela;Castela;Castela;;Castela;;;;;;;;;x
b_castela_adj;Castelan;;casteler;;;;;;;;;;;x
b_castellarsa;Castellarsa;Castellarsa;Castellarsa;;Castellarsa;;;;;;;;;x
b_castellarsa_adj;Castellarsan;;castellarser;;;;;;;;;;;x
b_castelvecchio;Castelvecchio;Castelvecchio;Castelvecchio;;Castelvecchio;;;;;;;;;x
b_castelvecchio_adj;Castelvecchian;;castelveccher;;;;;;;;;;;x
b_castelvecchio_2;Castelvecchio;Castelvecchio;Castelvecchio;;Castelvecchio;;;;;;;;;x
b_castelvecchio_2_adj;Castelvecchian;;castelveccher;;;;;;;;;;;x
b_castelvecchio_3;Castelvecchio;Castelvecchio;Castelvecchio;;Castelvecchio;;;;;;;;;x
b_castelvecchio_3_adj;Castelvecchian;;castelveccher;;;;;;;;;;;x
b_castelvecchio_4;Castelvecchio;Castelvecchio;Castelvecchio;;Castelvecchio;;;;;;;;;x
b_castelvecchio_4_adj;Castelvecchian;;castelveccher;;;;;;;;;;;x
b_castelvecchio_5;Castelvecchio;Castelvecchio;Castelvecchio;;Castelvecchio;;;;;;;;;x
b_castelvecchio_5_adj;Castelvecchian;;castelveccher;;;;;;;;;;;x
b_castirias;Castirias;Castirias;Castirias;;Castirias;;;;;;;;;x
b_castirias_adj;Castiriasian;;castiriaser;;;;;;;;;;;x
b_cativa;Cativa;Cativa;Cativa;;Cativa;;;;;;;;;x
b_cativa_adj;Cativan;;cativer;;;;;;;;;;;x
b_cattala;Cattala;Cattala;Cattala;;Cattala;;;;;;;;;x
b_cattala_adj;Cattalan;;cattaler;;;;;;;;;;;x
b_cayika;Cayika;Cayika;Cayika;;Cayika;;;;;;;;;x
b_cayika_adj;Cayikan;;cayiker;;;;;;;;;;;x
b_cayika_2;Cayika;Cayika;Cayika;;Cayika;;;;;;;;;x
b_cayika_2_adj;Cayikan;;cayiker;;;;;;;;;;;x
b_cayika_3;Cayika;Cayika;Cayika;;Cayika;;;;;;;;;x
b_cayika_3_adj;Cayikan;;cayiker;;;;;;;;;;;x
b_cerissu;Cerissu;Cerissu;Cerissu;;Cerissu;;;;;;;;;x
b_cerissu_adj;Cerissian;;cerisser;;;;;;;;;;;x
b_cervinja;Cervinja;Cervinja;Cervinja;;Cervinja;;;;;;;;;x
b_cervinja_adj;Cervinjan;;cervinjer;;;;;;;;;;;x
b_cisnalonta;Cisnalonta;Cisnalonta;Cisnalonta;;Cisnalonta;;;;;;;;;x
b_cisnalonta_adj;Cisnalontan;;cisnalonter;;;;;;;;;;;x
b_cnidaros;Cnidaros;Cnidaros;Cnidaros;;Cnidaros;;;;;;;;;x
b_cnidaros_adj;Cnidarosian;;cnidaroser;;;;;;;;;;;x
b_cnidaros_2;Cnidaros;Cnidaros;Cnidaros;;Cnidaros;;;;;;;;;x
b_cnidaros_2_adj;Cnidarosian;;cnidaroser;;;;;;;;;;;x
b_cnidaros_3;Cnidaros;Cnidaros;Cnidaros;;Cnidaros;;;;;;;;;x
b_cnidaros_3_adj;Cnidarosian;;cnidaroser;;;;;;;;;;;x
b_cnidaros_4;Cnidaros;Cnidaros;Cnidaros;;Cnidaros;;;;;;;;;x
b_cnidaros_4_adj;Cnidarosian;;cnidaroser;;;;;;;;;;;x
b_cniva;Cniva;Cniva;Cniva;;Cniva;;;;;;;;;x
b_cniva_adj;Cnivan;;cniver;;;;;;;;;;;x
b_corceiros;Corceiros;Corceiros;Corceiros;;Corceiros;;;;;;;;;x
b_corceiros_adj;Corceirosian;;corceiroser;;;;;;;;;;;x
b_corcespiae;Corcespiae;Corcespiae;Corcespiae;;Corcespiae;;;;;;;;;x
b_corcespiae_adj;Corcespiaean;;corcesper;;;;;;;;;;;x
b_corcespiae_2;Corcespiae;Corcespiae;Corcespiae;;Corcespiae;;;;;;;;;x
b_corcespiae_2_adj;Corcespiaean;;corcesper;;;;;;;;;;;x
b_corcespiae_3;Corcespiae;Corcespiae;Corcespiae;;Corcespiae;;;;;;;;;x
b_corcespiae_3_adj;Corcespiaean;;corcesper;;;;;;;;;;;x
b_corcespiae_4;Corcespiae;Corcespiae;Corcespiae;;Corcespiae;;;;;;;;;x
b_corcespiae_4_adj;Corcespiaean;;corcesper;;;;;;;;;;;x
b_cota;Cota;Cota;Cota;;Cota;;;;;;;;;x
b_cota_adj;Cotan;;coter;;;;;;;;;;;x
b_croton;Croton;Croton;Croton;;Croton;;;;;;;;;x
b_croton_adj;Crotonian;;crotoner;;;;;;;;;;;x
b_croton_2;Croton;Croton;Croton;;Croton;;;;;;;;;x
b_croton_2_adj;Crotonian;;crotoner;;;;;;;;;;;x
b_croton_3;Croton;Croton;Croton;;Croton;;;;;;;;;x
b_croton_3_adj;Crotonian;;crotoner;;;;;;;;;;;x
b_croton_4;Croton;Croton;Croton;;Croton;;;;;;;;;x
b_croton_4_adj;Crotonian;;crotoner;;;;;;;;;;;x
b_csonkal;Csonkal;Csonkal;Csonkal;;Csonkal;;;;;;;;;x
b_csonkal_adj;Csonkalian;;csonkaler;;;;;;;;;;;x
b_csonkal_2;Csonkal;Csonkal;Csonkal;;Csonkal;;;;;;;;;x
b_csonkal_2_adj;Csonkalian;;csonkaler;;;;;;;;;;;x
b_ctehok;Ctehok;Ctehok;Ctehok;;Ctehok;;;;;;;;;x
b_ctehok_adj;Ctehokian;;ctehoker;;;;;;;;;;;x
b_ctesirkuk;Ctesirkuk;Ctesirkuk;Ctesirkuk;;Ctesirkuk;;;;;;;;;x
b_ctesirkuk_adj;Ctesirkukian;;ctesirkuker;;;;;;;;;;;x
b_ctesirkuk_2;Ctesirkuk;Ctesirkuk;Ctesirkuk;;Ctesirkuk;;;;;;;;;x
b_ctesirkuk_2_adj;Ctesirkukian;;ctesirkuker;;;;;;;;;;;x
b_ctesirkuk_3;Ctesirkuk;Ctesirkuk;Ctesirkuk;;Ctesirkuk;;;;;;;;;x
b_ctesirkuk_3_adj;Ctesirkukian;;ctesirkuker;;;;;;;;;;;x
b_ctesirkuk_4;Ctesirkuk;Ctesirkuk;Ctesirkuk;;Ctesirkuk;;;;;;;;;x
b_ctesirkuk_4_adj;Ctesirkukian;;ctesirkuker;;;;;;;;;;;x
b_cuelva;Cuelva;Cuelva;Cuelva;;Cuelva;;;;;;;;;x
b_cuelva_adj;Cuelvan;;cuelver;;;;;;;;;;;x
b_cukunbey;Cukunbey;Cukunbey;Cukunbey;;Cukunbey;;;;;;;;;x
b_cukunbey_adj;Cukunbeian;;cukunbeer;;;;;;;;;;;x
b_cythaca;Cythaca;Cythaca;Cythaca;;Cythaca;;;;;;;;;x
b_cythaca_adj;Cythacan;;cythacer;;;;;;;;;;;x
b_czansk;Czansk;Czansk;Czansk;;Czansk;;;;;;;;;x
b_czansk_adj;Czanskian;;czansker;;;;;;;;;;;x
b_dadekia;Dadekia;Dadekia;Dadekia;;Dadekia;;;;;;;;;x
b_dadekia_adj;Dadekian;;dadeker;;;;;;;;;;;x
b_dahmafour;Dahmafour;Dahmafour;Dahmafour;;Dahmafour;;;;;;;;;x
b_dahmafour_adj;Dahmafourian;;dahmafourer;;;;;;;;;;;x
b_dahmafour_2;Dahmafour;Dahmafour;Dahmafour;;Dahmafour;;;;;;;;;x
b_dahmafour_2_adj;Dahmafourian;;dahmafourer;;;;;;;;;;;x
b_dahmafour_3;Dahmafour;Dahmafour;Dahmafour;;Dahmafour;;;;;;;;;x
b_dahmafour_3_adj;Dahmafourian;;dahmafourer;;;;;;;;;;;x
b_dahmafour_4;Dahmafour;Dahmafour;Dahmafour;;Dahmafour;;;;;;;;;x
b_dahmafour_4_adj;Dahmafourian;;dahmafourer;;;;;;;;;;;x
b_dahmafour_5;Dahmafour;Dahmafour;Dahmafour;;Dahmafour;;;;;;;;;x
b_dahmafour_5_adj;Dahmafourian;;dahmafourer;;;;;;;;;;;x
b_daiyna;Daiyna;Daiyna;Daiyna;;Daiyna;;;;;;;;;x
b_daiyna_adj;Daiynan;;daiyner;;;;;;;;;;;x
b_dalibor;Dalibor;Dalibor;Dalibor;;Dalibor;;;;;;;;;x
b_dalibor_adj;Daliborian;;daliborer;;;;;;;;;;;x
b_damieqiya;Damieqiya;Damieqiya;Damieqiya;;Damieqiya;;;;;;;;;x
b_damieqiya_adj;Damieqiyan;;damieqer;;;;;;;;;;;x
b_decontum;Decontum;Decontum;Decontum;;Decontum;;;;;;;;;x
b_decontum_adj;Decontumian;;decontumer;;;;;;;;;;;x
b_decontum_2;Decontum;Decontum;Decontum;;Decontum;;;;;;;;;x
b_decontum_2_adj;Decontumian;;decontumer;;;;;;;;;;;x
b_decontum_3;Decontum;Decontum;Decontum;;Decontum;;;;;;;;;x
b_decontum_3_adj;Decontumian;;decontumer;;;;;;;;;;;x
b_decontum_4;Decontum;Decontum;Decontum;;Decontum;;;;;;;;;x
b_decontum_4_adj;Decontumian;;decontumer;;;;;;;;;;;x
b_dedecevaz;Dedecevaz;Dedecevaz;Dedecevaz;;Dedecevaz;;;;;;;;;x
b_dedecevaz_adj;Dedecevazian;;dedecevazer;;;;;;;;;;;x
b_dedernas;Dedernas;Dedernas;Dedernas;;Dedernas;;;;;;;;;x
b_dedernas_adj;Dedernasian;;dedernaser;;;;;;;;;;;x
b_dedernas_2;Dedernas;Dedernas;Dedernas;;Dedernas;;;;;;;;;x
b_dedernas_2_adj;Dedernasian;;dedernaser;;;;;;;;;;;x
b_dedernas_3;Dedernas;Dedernas;Dedernas;;Dedernas;;;;;;;;;x
b_dedernas_3_adj;Dedernasian;;dedernaser;;;;;;;;;;;x
b_dedernas_4;Dedernas;Dedernas;Dedernas;;Dedernas;;;;;;;;;x
b_dedernas_4_adj;Dedernasian;;dedernaser;;;;;;;;;;;x
b_delatis;Delatis;Delatis;Delatis;;Delatis;;;;;;;;;x
b_delatis_adj;Delatisian;;delatiser;;;;;;;;;;;x
b_delvaz;Delvaz;Delvaz;Delvaz;;Delvaz;;;;;;;;;x
b_delvaz_adj;Delvazian;;delvazer;;;;;;;;;;;x
b_demir;Demir;Demir;Demir;;Demir;;;;;;;;;x
b_demir_adj;Demirian;;demirer;;;;;;;;;;;x
b_demyria;Demyria;Demyria;Demyria;;Demyria;;;;;;;;;x
b_demyria_adj;Demyrian;;demyrer;;;;;;;;;;;x
b_demyria_2;Demyria;Demyria;Demyria;;Demyria;;;;;;;;;x
b_demyria_2_adj;Demyrian;;demyrer;;;;;;;;;;;x
b_demyria_3;Demyria;Demyria;Demyria;;Demyria;;;;;;;;;x
b_demyria_3_adj;Demyrian;;demyrer;;;;;;;;;;;x
b_demyria_4;Demyria;Demyria;Demyria;;Demyria;;;;;;;;;x
b_demyria_4_adj;Demyrian;;demyrer;;;;;;;;;;;x
b_demyria_5;Demyria;Demyria;Demyria;;Demyria;;;;;;;;;x
b_demyria_5_adj;Demyrian;;demyrer;;;;;;;;;;;x
b_dez;Dez;Dez;Dez;;Dez;;;;;;;;;x
b_dez_adj;Dezian;;dezer;;;;;;;;;;;x
b_dibarut;Dibarut;Dibarut;Dibarut;;Dibarut;;;;;;;;;x
b_dibarut_adj;Dibarutian;;dibaruter;;;;;;;;;;;x
b_didicea;Didicea;Didicea;Didicea;;Didicea;;;;;;;;;x
b_didicea_adj;Didicean;;didicer;;;;;;;;;;;x
b_didicea_2;Didicea;Didicea;Didicea;;Didicea;;;;;;;;;x
b_didicea_2_adj;Didicean;;didicer;;;;;;;;;;;x
b_didicea_3;Didicea;Didicea;Didicea;;Didicea;;;;;;;;;x
b_didicea_3_adj;Didicean;;didicer;;;;;;;;;;;x
b_didicea_4;Didicea;Didicea;Didicea;;Didicea;;;;;;;;;x
b_didicea_4_adj;Didicean;;didicer;;;;;;;;;;;x
b_didicea_5;Didicea;Didicea;Didicea;;Didicea;;;;;;;;;x
b_didicea_5_adj;Didicean;;didicer;;;;;;;;;;;x
b_didicea_6;Didicea;Didicea;Didicea;;Didicea;;;;;;;;;x
b_didicea_6_adj;Didicean;;didicer;;;;;;;;;;;x
b_diminas;Diminas;Diminas;Diminas;;Diminas;;;;;;;;;x
b_diminas_adj;Diminasian;;diminaser;;;;;;;;;;;x
b_dogagmus;Dogagmus;Dogagmus;Dogagmus;;Dogagmus;;;;;;;;;x
b_dogagmus_adj;Dogagmusian;;dogagmuser;;;;;;;;;;;x
b_droresti;Droresti;Droresti;Droresti;;Droresti;;;;;;;;;x
b_droresti_adj;Drorestian;;drorester;;;;;;;;;;;x
b_dubava;Dubava;Dubava;Dubava;;Dubava;;;;;;;;;x
b_dubava_adj;Dubavan;;dubaver;;;;;;;;;;;x
b_dudsta;Dudsta;Dudsta;Dudsta;;Dudsta;;;;;;;;;x
b_dudsta_adj;Dudstan;;dudster;;;;;;;;;;;x
b_dunavec;Dunavec;Dunavec;Dunavec;;Dunavec;;;;;;;;;x
b_dunavec_adj;Dunavecian;;dunavecer;;;;;;;;;;;x
b_duve;Duve;Duve;Duve;;Duve;;;;;;;;;x
b_duve_adj;Duvean;;duver;;;;;;;;;;;x
b_dymydon;Dymydon;Dymydon;Dymydon;;Dymydon;;;;;;;;;x
b_dymydon_adj;Dymydonian;;dymydoner;;;;;;;;;;;x
b_dymydon_2;Dymydon;Dymydon;Dymydon;;Dymydon;;;;;;;;;x
b_dymydon_2_adj;Dymydonian;;dymydoner;;;;;;;;;;;x
b_edetero;Edetero;Edetero;Edetero;;Edetero;;;;;;;;;x
b_edetero_adj;Edeterian;;edeterer;;;;;;;;;;;x
b_egatsi;Egatsi;Egatsi;Egatsi;;Egatsi;;;;;;;;;x
b_egatsi_adj;Egatsian;;egatser;;;;;;;;;;;x
b_egatsi_2;Egatsi;Egatsi;Egatsi;;Egatsi;;;;;;;;;x
b_egatsi_2_adj;Egatsian;;egatser;;;;;;;;;;;x
b_egatsi_3;Egatsi;Egatsi;Egatsi;;Egatsi;;;;;;;;;x
b_egatsi_3_adj;Egatsian;;egatser;;;;;;;;;;;x
b_egatsi_4;Egatsi;Egatsi;Egatsi;;Egatsi;;;;;;;;;x
b_egatsi_4_adj;Egatsian;;egatser;;;;;;;;;;;x
b_ekizi;Ekizi;Ekizi;Ekizi;;Ekizi;;;;;;;;;x
b_ekizi_adj;Ekizian;;ekizer;;;;;;;;;;;x
b_el_geli;El Geli;El Geli;El Geli;;El Geli;;;;;;;;;x
b_el_geli_adj;El Gelian;;El Geler;;;;;;;;;;;x
b_el_geli_2;El Geli;El Geli;El Geli;;El Geli;;;;;;;;;x
b_el_geli_2_adj;El Gelian;;El Geler;;;;;;;;;;;x
b_el_geli_3;El Geli;El Geli;El Geli;;El Geli;;;;;;;;;x
b_el_geli_3_adj;El Gelian;;El Geler;;;;;;;;;;;x
b_el_kecha;El Kecha;El Kecha;El Kecha;;El Kecha;;;;;;;;;x
b_el_kecha_adj;El Kechan;;El Kecher;;;;;;;;;;;x
b_el_kecha_2;El Kecha;El Kecha;El Kecha;;El Kecha;;;;;;;;;x
b_el_kecha_2_adj;El Kechan;;El Kecher;;;;;;;;;;;x
b_el_kecha_3;El Kecha;El Kecha;El Kecha;;El Kecha;;;;;;;;;x
b_el_kecha_3_adj;El Kechan;;El Kecher;;;;;;;;;;;x
b_el_qahagha;El Qahagha;El Qahagha;El Qahagha;;El Qahagha;;;;;;;;;x
b_el_qahagha_adj;El Qahaghan;;El Qahagher;;;;;;;;;;;x
b_el_qahagha_2;El Qahagha;El Qahagha;El Qahagha;;El Qahagha;;;;;;;;;x
b_el_qahagha_2_adj;El Qahaghan;;El Qahagher;;;;;;;;;;;x
b_el_qahagha_3;El Qahagha;El Qahagha;El Qahagha;;El Qahagha;;;;;;;;;x
b_el_qahagha_3_adj;El Qahaghan;;El Qahagher;;;;;;;;;;;x
b_eleutapolis;Eleutapolis;Eleutapolis;Eleutapolis;;Eleutapolis;;;;;;;;;x
b_eleutapolis_adj;Eleutapolisian;;eleutapoliser;;;;;;;;;;;x
b_eleutespontos;Eleutespontos;Eleutespontos;Eleutespontos;;Eleutespontos;;;;;;;;;x
b_eleutespontos_adj;Eleutespontosian;;eleutespontoser;;;;;;;;;;;x
b_eleutespontos_2;Eleutespontos;Eleutespontos;Eleutespontos;;Eleutespontos;;;;;;;;;x
